Модель,Описание,Год авто,Цена,Дата и адресс,Пробег
"Audi A6 A4/C4 Универсал , 1995","Универсал,  2 л.,  бензин, механика, передний,",1995,4777$,"20 окт, Балыкчи",312000 км
"Audi 100 С3 Седан , 1986","Седан, серебряный, 2.2 л., левый руль, бензин, механика, передний,",1986,1074$,"10 окт, Тюпский  район",600000 км
"Audi S4 4A/C4 Avant универсал , 1994","Универсал, черный, 2.6 л., левый руль, бензин, механика, передний,",1994,3582$,"5 окт, Чолпон-Ата",
"Audi 80 8C/B4 , 1992","Седан, черный, 2.0 л., левый руль, бензин, механика, задний,",1992,2$,"4 окт, Кызыл-Кия",
"Audi A4 B6 Седан , 2003","Седан, серебряный, 1.8 л., левый руль, бензин, автомат, постоянный полный,",2003,5500$,"1 окт, Бишкек",284000 км
"Audi 100 С3 Седан , 1988","Седан, красный, 2.3 л., левый руль, бензин, механика, задний,",1988,2746$,"28 сен,",304000 км
"Audi 100 4A/C4 Седан , 1990","Седан, серый, 2.3 л., левый руль, бензин, механика, передний,",1990,3105$,"24 сен, Бишкек",170000 км
"Audi 80 8A/B3 Седан , 2021","Седан, дипломат, 1.6 л.,  бензин, механика, передний,",2021,2300$,"7 сен, Бишкек",145555 км
"Audi A6 4F/C6 Седан , 2004","Седан, темно-синий, 3.1 л., левый руль, бензин, механика, постоянный полный,",2004,7500$,"22 авг, Бишкек",300000 км
"Audi A6 4B/C5 Седан , 1999","Седан,  2.4 л.,  бензин, автомат, передний,",1999,3702$,"21 авг, Каракол",350000 км
"Audi 100 С3 Седан , 1986","Седан, бордовый, 1.8 л., левый руль, бензин, механика, передний,",1986,2388$,"3 авг, Бишкек",5000 км
"Audi 100 С3 [рестайлинг] Avant универсал , 1990","Универсал, черный, 1.8 л., левый руль, бензин, механика, задний,",1990,900$,"31 июл, Бишкек",
"Audi A4 B5 Седан , 1995","Седан, мокрый асфальт, 2.8 л., левый руль, бензин, механика, передний,",1995,1800$,"29 июл, Баткен",390000 км
"Audi A6 4G/C7 [рестайлинг] Седан , 2016","Седан, синий, 2 л., левый руль, дизель, автомат, передний,",2016,24000$,"21 июл, Бишкек",140000 км
"Audi A4 B7 Седан , 2005","Седан, серый, 3.1 л., левый руль, бензин, автомат, постоянный полный,",2005,7000$,"19 июл, Бишкек",222222 км
"Audi A6 4B/C5 Седан , 2000","Седан, зеленый, 2.8 л., левый руль, бензин, автомат, постоянный полный,",2000,4700$,"11 июл, Бишкек",297000 км
"Audi 100 4A/C4 Седан , 1992","Седан, черный, 2.3 л., правый руль, бензин, автомат, передний,",1992,160000$,"8 июл, Бишкек",295000 км
"Audi Q7 4L [рестайлинг] Кроссовер , 2013","Кроссовер, белый, 3 л., левый руль, дизель, автомат, постоянный полный,",2013,24900$,"7 июл, Бишкек",130000 км
"Audi 100 4A/C4 Avant универсал , 1992","Универсал, серый, 2.3 л., левый руль, бензин, автомат, передний,",1992,1791$,"7 июл, Бишкек",600000 км
"Audi A3 8L [рестайлинг] Хетчбэк 5-дв. , 2002","Хэтчбек, синий, 1.8 л., левый руль, бензин, автомат, передний,",2002,4896$,"30 июн, Бишкек",250000 км
